#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
,PDT001222026.1,Singapore,GCA_021588105.1,2019,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-6=COMPLETE,catB7=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222028.1,Singapore,GCA_021588045.1,2014,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222031.1,Singapore,GCA_021587985.1,2014,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222037.1,Singapore,GCA_021587865.1,2014,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222038.1,Singapore,GCA_021587845.1,2014,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222045.1,Singapore,GCA_021587685.1,2014,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222047.1,Singapore,GCA_021587665.1,2014,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222050.1,Singapore,GCA_021587605.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222053.1,Singapore,GCA_021587545.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=MISTRANSLATION,mexA=COMPLETE,mexX=COMPLETE",
,PDT001222054.1,Singapore,GCA_021587485.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222055.1,Singapore,GCA_021587565.1,2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-98=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222056.1,Singapore,GCA_021587525.1,2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1026=COMPLETE,blaPDC-39=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222058.1,Singapore,GCA_021587445.1,2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222060.1,Singapore,GCA_021587405.1,2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222062.1,Singapore,GCA_021587385.1,2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222071.1,Singapore,GCA_021587185.1,2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222077.1,Singapore,GCA_021587065.1,2010,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-16=COMPLETE,catB7=MISTRANSLATION,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222081.1,Singapore,GCA_021586965.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222084.1,Singapore,GCA_021586895.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-19b=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222085.1,Singapore,GCA_021586835.1,2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001222091.1,Singapore,GCA_021586735.1,2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pseudomonas_aeruginosa_2021CK-01851,PDT001222651.1,USA,GCA_021584735.1,21/12/2021,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-16=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_152,PDT001223127.1,Pakistan,GCA_021441545.1,2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_65,PDT001223130.1,Pakistan,GCA_021441605.1,2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-127=COMPLETE,catB7=MISTRANSLATION,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_9,PDT001235955.1,Pakistan,GCA_021730475.1,2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-447=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PAR7115,PDT001238273.1,Spain: Badalona,GCA_021891955.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PAR7244,PDT001238276.1,Spain: Badalona,GCA_021892005.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae8414-Lar,PDT001244039.1,Greece,GCA_022015915.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-98=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
L00022915,PDT001256498.1,not collected,GCA_022408615.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1034=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LS.2c,PDT001258988.1,Hong Kong: Jardines Lookout,GCA_022453825.1,2021-09,,,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-30=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
233/2,PDT001263762.1,Russia: Samara,GCA_022552195.1,07/02/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
225/1,PDT001263765.1,Russia: Samara,GCA_022552245.1,05/02/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-31=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
215/4,PDT001263769.1,Russia: Samara,GCA_022552335.1,05/02/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
325/1,PDT001263810.1,Russia: Moscow,GCA_022553155.1,22/01/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
E131,PDT001273849.1,USA,GCA_022638175.1,2010,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-15=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA1_NCHU,PDT001275025.1,Taiwan,GCA_022670795.1,2019,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=PARTIAL,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001275700.1,USA,GCA_022958455.1,26/02/2022,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae_AZ08,PDT001277643.1,USA,GCA_022807755.1,03/08/2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-480=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae_AZ01,PDT001277649.1,USA,GCA_022807875.1,23/02/2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-382=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
2021EL-01285,PDT001280239.1,USA,GCA_022686495.2,2021,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-6=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
244,PDT001286264.1,USA,GCA_022986025.1,05/04/2018,,,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
277,PDT001286317.1,USA,GCA_022985255.1,25/07/2018,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
1664,PDT001286319.1,USA,GCA_022984705.1,30/05/2018,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pa II.17,PDT001292683.1,France: Montpellier,GCA_022976545.1,04/04/2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-6=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
DSM 50071,PDT000068872.1,,GCA_001042925.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
NCTC10332,PDT000097165.1,Czech Republic: Prague,GCA_001457615.1,1963,,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
WH-SGI-V-07248,PDT000096446.1,Germany,GCA_001452825.1,1997,,,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-16=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000173121.1,,GCA_900147945.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE",
,PDT000173122.1,,GCA_900147405.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000173123.1,,GCA_900147965.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000173124.1,,GCA_900147395.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000174712.1,,GCA_900147665.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5412,PDT001113338.1,China: Suzhou,GCA_019686995.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-58=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SE5409,PDT001113340.1,China: Suzhou,GCA_019687035.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-58=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ENV-570,PDT000392057.1,Estonia,GCA_003632575.1,2013,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=PARTIAL,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ENV-569,PDT000392098.1,Estonia,GCA_003633395.1,2013,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=PARTIAL,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ENV-568,PDT000392099.1,Estonia,GCA_003633405.1,2013,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=PARTIAL,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
3579,PDT000026529.1,,GCA_000629205.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
3578,PDT000026530.1,,GCA_000629225.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL_END_OF_CONTIG,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AZPAE14925,PDT000045186.1,Brazil: Sao Paulo,GCA_000791265.1,2008,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AZPAE14913,PDT000045315.1,Croatia: Split,GCA_000793845.1,2008,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Patient_7_PostExposure,PDT001009330.1,USA: Pittsburgh,GCA_018027395.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CMIP 8.1,PDT001138736.1,Brazil: Rio de Janeiro,GCA_020147905.1,1995-07,,,"aph(3')-IIb=COMPLETE,blaOXA-906=COMPLETE,blaPDC-59=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000173039.1,,GCA_900146665.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-34=COMPLETE,catB7=MISTRANSLATION,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
M0089,PDT001163768.1,,GCA_020640125.1,2016-12,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-117=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
M0012,PDT001163789.1,,GCA_020640555.1,2016-11,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-117=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CEC36,PDT000795134.1,,GCA_013435215.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-123=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CEC78,PDT000795091.1,,GCA_013434365.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CEC77,PDT000795092.1,,GCA_013434375.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CEC76,PDT000795093.1,,GCA_013434405.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
3581,PDT000026522.1,,GCA_000629165.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-905=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
3580,PDT000026524.1,,GCA_000629185.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-905=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
E2,PDT000018510.2,USA,GCA_000482005.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-192=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
OSIRIS,PDT000797661.1,United Kingdom,GCA_013619435.1,2007,,cat,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
M0162,PDT001163749.1,,GCA_020639755.1,2017-10,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
M0154,PDT001163754.1,,GCA_020639845.1,2020-03,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
M0027,PDT001163784.1,,GCA_020640455.1,2016-10,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AZPAE15051,PDT000045243.1,China: Hong Kong,GCA_000792395.1,2012,,,"aph(3')-IIb=COMPLETE,blaOXA-901=COMPLETE,blaPDC-46=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AZPAE14372,PDT000045415.1,China: Hong Kong,GCA_000795845.1,2010,,,"aph(3')-IIb=COMPLETE,blaOXA-901=COMPLETE,blaPDC-46=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
WH-SGI-V-07073,PDT000096268.1,USA,GCA_001449255.1,1992,,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
WH-SGI-V-07071,PDT000096269.1,USA,GCA_001449275.1,1992,,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
C23,PDT000018440.2,,GCA_000480495.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
C20,PDT000019100.2,,GCA_000480515.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUH-PA120,PDT000364907.1,Lebanon,GCA_003397525.1,2016,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaPDC-46=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA120,PDT000652631.1,Lebanon: Beirut,GCA_009765195.1,2015-12,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaPDC-46=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiP1c,PDT000797672.1,United Kingdom,GCA_013619665.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiP1a,PDT000797674.1,United Kingdom,GCA_013619685.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiP8,PDT000797665.1,United Kingdom,GCA_013619515.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiP9,PDT000797664.1,United Kingdom,GCA_013619505.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiP13,PDT000797675.1,United Kingdom,GCA_013619705.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiP7,PDT000797666.1,United Kingdom,GCA_013619545.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-97=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
72G,PDT000797684.1,United Kingdom,GCA_013619895.1,2003,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-97=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
